794.070: [GC [PSYoungGen: 2518471K->69270K(2594880K)] 6794620K->4345419K(7015168K), 0.0796580 secs] [Times: user=0.56 sys=0.00, real=0.08 secs] 
1519.397: [GC [PSYoungGen: 2528406K->76667K(2579456K)] 6804555K->4352816K(6999744K), 0.1676190 secs] [Times: user=0.80 sys=0.39, real=0.17 secs] 
1603.904: [GC [PSYoungGen: 2540219K->66403K(2589376K)] 6816368K->4342553K(7009664K), 0.0804980 secs] [Times: user=0.60 sys=0.02, real=0.08 secs] 
1681.786: [GC [PSYoungGen: 2529955K->81890K(2596928K)] 6806105K->4358040K(7017216K), 0.0939160 secs] [Times: user=0.67 sys=0.03, real=0.09 secs] 
1803.962: [GC [PSYoungGen: 2564002K->89516K(2602432K)] 6840152K->4365666K(7022720K), 0.1091330 secs] [Times: user=0.75 sys=0.09, real=0.10 secs] 
2156.674: [GC [PSYoungGen: 2571628K->109171K(2595072K)] 6847778K->4385321K(7015360K), 0.2177620 secs] [Times: user=1.06 sys=0.54, real=0.21 secs] 
2233.046: [GC [PSYoungGen: 2582708K->112344K(2586624K)] 6858858K->4388494K(7006912K), 0.2109530 secs] [Times: user=1.02 sys=0.58, real=0.21 secs] 
2597.638: [GC [PSYoungGen: 2586584K->121119K(2578112K)] 6862734K->4397268K(6998400K), 0.2540900 secs] [Times: user=1.13 sys=0.71, real=0.25 secs] 
3151.752: [GC [PSYoungGen: 2564127K->119881K(2562944K)] 6840276K->4396030K(6983232K), 0.1148650 secs] [Times: user=0.77 sys=0.06, real=0.11 secs] 
3685.625: [GC [PSYoungGen: 2562889K->122243K(2569088K)] 6839038K->4398393K(6989376K), 0.2221050 secs] [Times: user=1.11 sys=0.55, real=0.23 secs] 
4109.633: [GC [PSYoungGen: 2541187K->121224K(2540224K)] 6817337K->4397373K(6960512K), 0.2263820 secs] [Times: user=1.15 sys=0.54, real=0.22 secs] 
4130.307: [GC [PSYoungGen: 2540168K->114765K(2570176K)] 6816317K->4390914K(6990464K), 0.1053540 secs] [Times: user=0.77 sys=0.06, real=0.10 secs] 
4168.334: [GC [PSYoungGen: 2525261K->114962K(2570560K)] 6801410K->4391111K(6990848K), 0.0980900 secs] [Times: user=0.76 sys=0.00, real=0.10 secs] 
